Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,COI-5P Seq. Length,COI-5P Trace Count,COI-5P Accession,COII Seq. Length,COII Trace Count,COII Accession,Image Count,Barcode Compliant,Contamination,Stop Codon,Flagged Record,Collection Date,Identification,Life Stage,Extra Info,Voucher Type,Institution,Notes,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,Subspecies,Identifier,Identifier Email,Identification Method,Taxonomy Notes,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,Sampling Protocol,Collection Notes,Site Code,Collection Event ID
NBPSI,NBPSI293-13,Bk06_COIF,Bk06_COIF,BOLD:ACJ5631,,609[0n],,,0[n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",23-Jun-10,Canada,Ontario,,,Moosonee,51.278,-80.648,,,,,,,,,,,,,
NBPSI,NBPSI294-13,Bk06_COIF(2),Bk06_COIF(2),BOLD:ACJ5631,,609[0n],,,450[3n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",23-Jun-10,Canada,Ontario,,,Moosonee,51.283,-80.639,,,,,,,,,,,,,
NBPSI,NBPSI299-13,BK13_COIF(2),BK13_COIF(2),BOLD:ACJ5631,,609[0n],,,561[4n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",16-Jun-10,Canada,Ontario,,,Moosonee,51.283,-80.639,,,,,,,,,,,,,
NBPSI,NBPSI300-13,BK17_COIF,BK17_COIF,BOLD:ACJ5631,,609[0n],,,561[10n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",16-Jun-10,Canada,Ontario,,,Moosonee,51.283,-80.639,,,,,,,,,,,,,
NBPSI,NBPSI306-13,CB06_COIF,CB06_COIF,BOLD:ACJ5631,,609[0n],,,561[0n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",21-Jun-10,Canada,Ontario,,,Moosonee,51.245,-80.678,,,,,,,,,,,,,
NBPSI,NBPSI307-13,CB07_COIF,CB07_COIF,BOLD:ACJ5631,,609[0n],,,561[6n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",21-Jun-10,Canada,Ontario,,,Moosonee,51.245,-80.678,,,,,,,,,,,,,
NBPSI,NBPSI310-13,CB11_COIF,CB11_COIF,BOLD:ACJ5631,,609[0n],,,561[0n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",02-Jul-10,Canada,Manitoba,Churchill,,Churchill,58.73,-93.795,,,,,,,,,,,,,
NBPSI,NBPSI311-13,CB12_COIF,CB12_COIF,BOLD:ACJ5631,,609[0n],,,561[1n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"D. Currie, P. Schaefer,  A. Solecki, J. Aker",09-Jul-10,Canada,Manitoba,Churchill,,Churchill,58.657,-93.831,,,,,,,,,,,,,
NBPSI,NBPSI312-13,CB15_COIF,CB15_COIF,BOLD:ACJ5631,,609[0n],,,561[0n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"C. Buddle, S. Loboda, M. Blair, C. Roussel",15-Jun-10,Canada,Newfoundland and Labrador,,,Goose Bay,53.212,-60.4506,,,,,,,,,,,,,
NBPSI,NBPSI313-13,CB16_COIF,CB16_COIF,BOLD:ACJ5631,,609[0n],,,561[0n],,,,No,,,,,Stegopterna emergens,,,,Royal Ontario Museum,,Arthropoda,Insecta,Diptera,Simuliidae,Simuliinae,,Stegopterna,Stegopterna emergens,,Patrick Schaefer,patrick.schaefer@utoronto.ca,,,"C. Buddle, S. Loboda, M. Blair, C. Roussel",18-Jun-10,Canada,Newfoundland and Labrador,,,Goose Bay,53.2141,-60.4504,,,,,,,,,,,,,
